Name,Url,topLevel,bin,support,completion
bat,https://github.com/sharkdp/bat/releases/download/v0.18.3/bat-v0.18.3-x86_64-pc-windows-msvc.zip,0,bat.exe,bat.1;LICENSE-APACHE;LICENSE-MIT;README.md,_bat.ps1
lsd,https://github.com/Peltoche/lsd/releases/download/0.20.1/lsd-0.20.1-x86_64-pc-windows-msvc.zip,0,lsd.exe,LICENSE;lsd.1;README.md,_lsd.ps1
delta,https://github.com/dandavison/delta/releases/download/0.9.2/delta-0.9.2-x86_64-pc-windows-msvc.zip,0,delta.exe,LICENSE;README.md,
dust,https://github.com/bootandy/dust/releases/download/v0.7.5/dust-v0.7.5-x86_64-pc-windows-msvc.zip,0,dust.exe,LICENSE;README.md,_dust.ps1
duf,https://github.com/muesli/duf/releases/download/v0.6.2/duf_0.6.2_Windows_x86_64.zip,1,duf.exe,LICENSE;README.md,_duf.ps1
broot,https://github.com/Canop/broot/releases/download/v1.7.1/broot_1.7.1.zip,1,build/x86_64-pc-windows-gnu/broot.exe,broot.1;README.md;_broot.ps1,_broot.ps1
fd,https://github.com/sharkdp/fd/releases/download/v8.2.1/fd-v8.2.1-x86_64-pc-windows-msvc.zip,1,fd.exe,_fd.ps1,_fd.ps1
rg,https://github.com/BurntSushi/ripgrep/releases/download/13.0.0/ripgrep-13.0.0-x86_64-pc-windows-msvc.zip,0,rg.exe,LICENSE-MIT;UNLICENSE;FAQ.md;GUIDE.md;_rg.ps1,_rg.ps1
fzf,https://github.com/junegunn/fzf/releases/download/0.28.0/fzf-0.28.0-windows_amd64.zip,1,fzf.exe,,
sd,https://github.com/chmln/sd/releases/download/v0.7.5/sd.0.7.5-.x86_64-pc-windows-msvc.zip,1,b/x86_64-pc-windows-msvc/release/sd.exe,,_sd.ps1
cheat,https://github.com/cheat/cheat/releases/download/4.2.3/cheat-windows-amd64.exe.zip,1,dist/cheat-windows-amd64.exe,,_cheat.ps1
btm,https://github.com/ClementTsang/bottom/releases/download/0.6.4/bottom_x86_64-pc-windows-msvc.zip,1,btm.exe,_btm.ps1,_btm.ps1
hyperfine,https://github.com/sharkdp/hyperfine/releases/download/v1.12.0/hyperfine-v1.12.0-x86_64-pc-windows-msvc.zip,1,hyperfine.exe,_hyperfine.ps1;LICENSE-APACHE;LICENSE-MIT;README.md,_hyperfine.ps1
gping,https://github.com/orf/gping/releases/download/gping-v1.2.6/gping-Windows-x86_64.zip,1,gping.exe,,_gping.ps1
procs,https://github.com/dalance/procs/releases/download/v0.11.10/procs-v0.11.10-x86_64-win.zip,1,target/x86_64-pc-windows-msvc/release/procs.exe,,_procs.ps1
curlie,https://github.com/rs/curlie/releases/download/v1.6.7/curlie_1.6.7_windows_amd64.tar.gz,1,curlie.exe,,
xh,https://github.com/ducaale/xh/releases/download/v0.13.0/xh-v0.13.0-x86_64-pc-windows-msvc.zip,0,xh.exe,xh.1;LICENSE;README.md;_xh.ps1,_xh.ps1
zoxide,https://github.com/ajeetdsouza/zoxide/releases/download/v0.7.9/zoxide-x86_64-pc-windows-msvc.zip,1,zoxide.exe,zoxide.1;LICENSE;README.md,
dog,https://github.com/ogham/dog/releases/download/v0.1.0/dog-v0.1.0-x86_64-pc-windows-msvc.zip,1,bin/dog.exe,dog.1,
jq,https://github.com/stedolan/jq/releases/download/jq-1.6/jq-win64.exe,1,jq-win64.exe,,
